age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,1,77516,13,1,1,1,1,1,2174,0,40,1,0
50,2,83311,13,2,2,2,1,1,0,0,13,1,0
38,3,215646,9,3,3,1,1,1,0,0,40,1,0
53,3,234721,7,2,3,2,2,1,0,0,40,1,0
28,3,338409,13,2,4,3,2,2,0,0,40,2,0
37,3,284582,14,2,2,3,1,2,0,0,40,1,0
49,3,160187,5,4,5,1,2,2,0,0,16,3,0
52,2,209642,9,2,2,2,1,1,0,0,45,1,1
31,3,45781,14,1,4,1,1,2,14084,0,50,1,1
42,3,159449,13,2,2,2,1,1,5178,0,40,1,1
37,3,280464,10,2,2,2,2,1,0,0,80,1,1
30,1,141297,13,2,4,2,3,1,0,0,40,4,1
23,3,122272,13,1,1,4,1,2,0,0,30,1,0
32,3,205019,12,1,6,1,2,1,0,0,50,1,0
40,3,121772,11,2,7,2,3,1,0,0,40,1,1
34,3,245487,4,2,8,2,4,1,0,0,45,5,0
25,2,176756,9,1,9,4,1,1,0,0,35,1,0
32,3,186824,9,1,10,5,1,1,0,0,40,1,0
38,3,28887,7,2,6,2,1,1,0,0,50,1,0
43,2,292175,14,3,2,5,1,2,0,0,45,1,1
40,3,193524,16,2,4,2,1,1,0,0,60,1,1
54,3,302146,9,5,5,5,2,2,0,0,20,1,0
35,4,76845,5,2,9,2,2,1,0,0,40,1,0
43,3,117037,7,2,8,2,1,1,0,2042,40,1,0
59,3,109015,9,3,11,5,1,2,0,0,40,1,0
56,5,216851,13,2,11,2,1,1,0,0,40,1,1
19,3,168294,9,1,7,4,1,1,0,0,40,1,0
54,3,180211,10,2,4,2,3,1,0,0,60,6,1
39,3,367260,9,3,2,1,1,1,0,0,80,1,0
49,3,193366,9,2,7,2,1,1,0,0,40,1,0
23,5,190709,12,1,12,1,1,1,0,0,52,1,0
20,3,266015,10,1,6,4,2,1,0,0,44,1,0
45,3,386940,13,3,2,4,1,1,0,1408,40,1,0
30,4,59951,10,2,1,4,1,1,0,0,40,1,0
22,1,311512,10,2,5,2,2,1,0,0,15,1,0
48,3,242406,7,1,10,5,1,1,0,0,40,7,0
21,3,197200,10,1,10,4,1,1,0,0,40,1,0
19,3,544091,9,6,1,3,1,2,0,0,25,1,0
31,3,84154,10,2,6,2,1,1,0,0,38,1,1
48,2,265477,12,2,4,2,1,1,0,0,40,1,0
31,3,507875,5,2,10,2,1,1,0,0,43,1,0
53,2,88506,13,2,4,2,1,1,0,0,40,1,0
24,3,172987,13,2,11,2,1,1,0,0,50,1,0
49,3,94638,9,5,1,5,1,2,0,0,40,1,0
25,3,289980,9,1,3,1,1,1,0,0,35,1,0
57,4,337895,13,2,4,2,2,1,0,0,40,1,1
53,3,144361,9,2,10,2,1,1,0,0,38,1,0
44,3,128354,14,3,2,5,1,2,0,0,40,1,0
41,1,101603,11,2,7,2,1,1,0,0,40,1,0
29,3,271466,11,1,4,1,1,1,0,0,43,1,0
25,3,32275,10,2,2,3,5,2,0,0,40,1,0
18,3,226956,9,1,5,4,1,2,0,0,30,1,0
47,3,51835,15,2,4,3,1,2,0,1902,60,8,1
50,4,251585,13,3,2,1,1,1,0,0,55,1,1
47,6,109832,9,3,2,1,1,1,0,0,60,1,0
43,3,237993,10,2,11,2,1,1,0,0,40,1,1
46,3,216666,3,2,10,2,1,1,0,0,40,5,0
35,3,56352,11,2,5,2,1,1,0,0,40,7,0
41,3,147372,9,2,1,2,1,1,0,0,48,1,0
30,3,188146,9,2,10,2,1,1,5013,0,40,1,0
30,3,59496,13,2,6,2,1,1,2407,0,40,1,0
32,3,293936,4,4,4,1,1,1,0,0,40,1,0
48,3,149640,9,2,8,2,1,1,0,0,40,1,0
42,3,116632,16,2,4,2,1,1,0,0,45,1,1
29,3,105598,10,3,11,1,1,1,0,0,58,1,0
36,3,155537,9,2,7,2,1,1,0,0,40,1,0
28,3,183175,10,3,1,1,1,2,0,0,40,1,0
53,3,169846,9,2,1,3,1,2,0,0,40,1,1
49,6,191681,10,2,2,2,1,1,0,0,50,1,1
25,3,200681,10,1,4,4,1,1,0,0,40,1,0
19,3,101509,10,1,4,4,1,1,0,0,32,1,0
31,3,309974,13,5,6,4,2,2,0,0,40,1,0
29,2,162298,13,2,6,2,1,1,0,0,70,1,1
23,3,211678,10,1,10,1,1,1,0,0,40,1,0
79,3,124744,10,2,4,6,1,1,0,0,20,1,0
27,3,213921,9,1,5,4,1,1,0,0,40,5,0
40,3,32214,12,2,1,2,1,1,0,0,40,1,0
67,3,212759,6,2,4,2,1,1,0,0,2,1,0
18,3,309634,7,1,5,4,1,2,0,0,22,1,0
31,5,125927,4,2,9,2,1,1,0,0,40,1,0
18,3,446839,9,1,6,1,1,1,0,0,30,1,0
52,3,276515,13,2,5,2,1,1,0,0,40,2,0
46,3,51618,9,2,5,3,1,2,0,0,40,1,0
59,3,159937,9,2,6,2,1,1,0,0,48,1,0
44,3,343591,9,3,7,1,1,2,14344,0,40,1,1
53,3,346253,9,3,6,4,1,2,0,0,35,1,0
49,5,268234,9,2,12,2,1,1,0,0,40,1,1
33,3,202051,14,2,4,2,1,1,0,0,50,1,0
30,3,54334,5,1,6,1,1,1,0,0,40,1,0
43,4,410867,16,1,4,1,1,2,0,0,50,1,1
57,3,249977,11,2,4,2,1,1,0,0,40,1,0
37,3,286730,10,3,7,5,1,2,0,0,40,1,0
28,3,212563,10,3,10,5,2,2,0,0,25,1,0
30,3,117747,9,2,6,3,3,2,0,1573,35,1,0
34,5,226296,13,2,12,2,1,1,0,0,40,1,1
29,5,115585,10,1,3,1,1,1,0,0,50,1,0
48,2,191277,16,2,4,2,1,1,0,1902,60,1,1
37,3,202683,10,2,6,2,1,1,0,0,48,1,1
48,3,171095,12,3,2,5,1,2,0,0,40,9,0
32,4,249409,9,1,5,4,2,1,0,0,40,1,0
76,3,124191,14,2,2,2,1,1,0,0,40,1,1
44,3,198282,13,2,2,2,1,1,15024,0,60,1,1
47,2,149116,14,1,4,1,1,2,0,0,50,1,0
20,3,188300,10,1,11,4,1,2,0,0,40,1,0
29,3,103432,9,1,7,1,1,1,0,0,40,1,0
32,6,317660,9,2,7,2,1,1,7688,0,40,1,1
17,3,304873,6,1,4,4,1,2,34095,0,32,1,0
30,3,194901,7,1,3,4,1,1,0,0,40,1,0
31,5,189265,9,1,1,1,1,2,0,0,40,1,0
42,3,124692,9,2,3,2,1,1,0,0,40,1,0
24,3,432376,13,1,6,6,1,1,0,0,40,1,0
38,3,65324,15,2,4,2,1,1,0,0,40,1,1
56,2,335605,9,2,5,2,1,1,0,1887,50,10,1
28,3,377869,10,2,6,3,1,2,4064,0,25,1,0
36,3,102864,9,1,10,4,1,2,0,0,40,1,0
53,3,95647,5,2,3,2,1,1,0,0,50,1,0
56,6,303090,10,2,6,2,1,1,0,0,50,1,0
49,5,197371,11,2,7,2,2,1,0,0,40,1,1
55,3,247552,10,2,6,2,1,1,0,0,56,1,0
22,3,102632,9,1,7,1,1,1,0,0,41,1,0
21,3,199915,10,1,5,4,1,2,0,0,40,1,0
40,3,118853,13,2,2,2,1,1,0,0,60,1,0
30,3,77143,13,1,2,4,2,1,0,0,40,11,0
29,1,267989,13,2,4,2,1,1,0,0,50,1,1
19,3,301606,10,1,5,4,2,1,0,0,35,1,0
47,3,287828,13,2,2,3,1,2,0,0,40,1,1
20,3,111697,10,1,1,4,1,2,0,1719,28,1,0
31,3,114937,12,2,1,2,1,1,0,0,40,1,1
35,3,129305,9,2,4,2,1,1,0,0,40,1,0
39,3,365739,10,3,7,1,1,1,0,0,40,1,0
28,3,69621,12,1,6,1,1,2,0,0,60,1,0
24,3,43323,9,1,5,1,1,2,0,1762,40,1,0
38,2,120985,9,2,7,2,1,1,4386,0,35,1,0
37,3,254202,13,2,6,2,1,1,0,0,50,1,0
46,3,146195,12,3,11,1,2,2,0,0,36,1,0
38,4,125933,14,2,4,2,1,1,0,0,40,12,1
43,2,56920,9,2,7,2,1,1,0,0,60,1,0
27,3,163127,11,2,1,3,1,2,0,0,35,1,0
20,3,34310,10,1,6,4,1,1,0,0,20,1,0
49,3,81973,10,2,7,2,3,1,0,0,40,1,1
61,6,66614,9,2,7,2,1,1,0,0,40,1,0
27,3,232782,10,1,6,4,1,2,0,0,40,1,0
19,3,316868,10,1,5,4,1,1,0,0,30,5,0
45,3,196584,11,1,4,1,1,2,0,1564,40,1,1
70,3,105376,10,1,11,6,1,1,0,0,40,1,0
31,3,185814,9,1,8,5,2,2,0,0,30,1,0
22,3,175374,10,2,5,2,1,1,0,0,24,1,0
36,3,108293,9,7,5,5,1,2,0,0,24,1,0
64,3,181232,7,2,7,2,1,1,0,2179,40,1,0
43,3,174662,10,3,4,1,1,2,0,0,40,1,0
47,5,186009,10,3,1,5,1,2,0,0,38,5,0
